,Pending SAE Reviews,Uncoded MedDRA Terms,Missing Visits,Missing CRF Pages,Lab Data Issues,Stale Queries (Days),Stale Missing Pages (Days),Uncoded Drug Terms,Open EDRR Issues,Inactivated Forms
Pending SAE Reviews,931.0,91.0,170.0,135.0,10.0,163.0,64.0,76.0,80.0,87.0
Uncoded MedDRA Terms,91.0,252.0,85.0,125.0,61.0,84.0,78.0,94.0,41.0,57.0
Missing Visits,170.0,85.0,717.0,494.0,78.0,707.0,165.0,114.0,181.0,204.0
Missing CRF Pages,135.0,125.0,494.0,985.0,177.0,492.0,440.0,175.0,191.0,321.0
Lab Data Issues,10.0,61.0,78.0,177.0,239.0,77.0,135.0,85.0,46.0,120.0
Stale Queries (Days),163.0,84.0,707.0,492.0,77.0,707.0,163.0,113.0,180.0,204.0
Stale Missing Pages (Days),64.0,78.0,165.0,440.0,135.0,163.0,440.0,97.0,90.0,211.0
Uncoded Drug Terms,76.0,94.0,114.0,175.0,85.0,113.0,97.0,331.0,78.0,106.0
Open EDRR Issues,80.0,41.0,181.0,191.0,46.0,180.0,90.0,78.0,487.0,231.0
Inactivated Forms,87.0,57.0,204.0,321.0,120.0,204.0,211.0,106.0,231.0,961.0
