study,site_id,country,region,subject_count,missing_visit_count,lab_issues_count,sae_total_count,sae_pending_count,missing_pages_count,uncoded_meddra_count,uncoded_whodd_count,inactivated_forms_count,edrr_open_issues
Study_1,27,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0
Study_1,Site 1,FRA,EMEA,1,0,0,0,0,0,0,0,5,0
Study_1,Site 10,DEU,EMEA,3,0,0,105,0,0,0,0,83,5
Study_1,Site 11,SGP,ASIA,2,0,0,0,0,3,0,0,1,0
Study_1,Site 12,KOR,ASIA,1,1,4,0,0,4,0,5,27,1
Study_1,Site 13,ESP,EMEA,2,0,0,0,0,0,0,0,1,0
Study_1,Site 14,ESP,EMEA,14,4,2,55,6,8,0,1,141,6
Study_1,Site 15,ESP,EMEA,16,1,0,401,13,50,0,0,267,19
Study_1,Site 16,ESP,EMEA,5,0,0,33,0,0,0,0,91,1
Study_1,Site 17,ESP,EMEA,3,2,1,8,8,16,4,0,61,2
Study_1,Site 18,USA,AMERICA,14,4,0,152,25,6,0,1,241,3
Study_1,Site 19,USA,AMERICA,5,2,0,70,21,66,0,9,94,6
Study_1,Site 2,FRA,EMEA,4,0,1,17,0,32,0,0,90,0
Study_1,Site 20,USA,AMERICA,1,0,0,0,0,0,0,0,0,0
Study_1,Site 21,USA,AMERICA,3,0,0,13,3,38,0,0,50,3
Study_1,Site 22,USA,AMERICA,1,0,0,0,0,44,0,0,1,0
Study_1,Site 23,USA,AMERICA,3,0,0,79,1,18,0,1,82,3
Study_1,Site 24,USA,AMERICA,1,0,0,72,0,0,0,0,39,4
Study_1,Site 25,GBR,EMEA,2,0,0,4,0,0,0,0,45,0
Study_1,Site 26,CHN,ASIA,3,0,0,0,0,10,0,0,0,0
Study_1,Site 27,CHN,ASIA,3,0,0,98,40,4,2,2,85,2
Study_1,Site 3,FRA,EMEA,3,0,30,9,0,2,0,0,117,4
Study_1,Site 4,FRA,EMEA,2,0,10,103,1,20,0,0,78,1
Study_1,Site 5,AUT,EMEA,1,0,0,0,0,3,0,0,0,0
