study,site_id,country,region,subject_count,avg_dqi_score,max_dqi_score,std_dqi_score,total_issue_types,avg_issue_types,high_risk_count,medium_risk_count,subjects_with_issues,sae_pending_count_sum,uncoded_meddra_count_sum,missing_visit_count_sum,missing_pages_count_sum,lab_issues_count_sum,max_days_outstanding_sum,max_days_page_missing_sum,uncoded_whodd_count_sum,edrr_open_issues_sum,inactivated_forms_count_sum,site_risk_category
Study_1,27,Unknown,Unknown,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_1,Site 1,FRA,EMEA,1,0.050256410256410255,0.050256410256410255,0.0,1,1.0,0,1,1,0,0,0,0,0,0,0,0,0,5,Medium
Study_1,Site 10,DEU,EMEA,3,0.08640491452991454,0.10604166666666667,0.031344491974805835,5,1.6666666666666667,0,3,3,0,0,0,0,0,0,0,0,5,83,Medium
Study_1,Site 11,SGP,ASIA,2,0.09447593342330184,0.14023391812865496,0.06471156255717105,3,1.5,0,2,2,0,0,0,3,0,0,61,0,0,1,Medium
Study_1,Site 12,KOR,ASIA,1,0.45025525189354826,0.45025525189354826,0.0,8,8.0,1,0,1,0,0,1,4,4,11,52,5,1,27,High
Study_1,Site 13,ESP,EMEA,2,0.024358974358974356,0.04871794871794871,0.034448791903960004,1,0.5,0,1,1,0,0,0,0,0,0,0,0,0,1,Low
Study_1,Site 14,ESP,EMEA,14,0.11217252581438017,0.5350550050145898,0.15779182810520964,24,1.7142857142857142,2,10,12,6,0,4,8,2,16,0,1,6,141,Medium
Study_1,Site 15,ESP,EMEA,16,0.1542502697860308,0.4479751461988304,0.16858869744817426,34,2.125,5,7,12,13,0,1,50,0,10,324,0,19,267,High
Study_1,Site 16,ESP,EMEA,5,0.062625,0.09979166666666667,0.02156463158479418,6,1.2,0,5,5,0,0,0,0,0,0,0,0,1,91,Medium
Study_1,Site 17,ESP,EMEA,3,0.5163811080556421,0.7203769531257667,0.3136867620252216,19,6.333333333333333,2,1,3,8,4,2,16,1,22,157,0,2,61,High
Study_1,Site 18,USA,AMERICA,14,0.10545640634830733,0.29279215300239064,0.08315237534234167,23,1.6428571428571428,2,12,14,25,0,4,6,0,15,0,1,3,241,Medium
Study_1,Site 19,USA,AMERICA,5,0.21135589351313877,0.4600073099415205,0.21490573622286943,14,2.8,2,3,5,21,0,2,66,0,32,174,9,6,94,High
Study_1,Site 2,FRA,EMEA,4,0.10684439091026562,0.24968525594875485,0.09540382561608385,7,1.75,1,3,4,0,0,0,32,1,0,38,0,0,90,Medium
Study_1,Site 20,USA,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_1,Site 21,USA,AMERICA,3,0.18298554880791726,0.4480592105263158,0.22956060547238613,7,2.3333333333333335,1,2,3,3,0,0,38,0,0,63,0,3,50,High
Study_1,Site 22,USA,AMERICA,1,0.196612685560054,0.196612685560054,0.0,3,3.0,0,1,1,0,0,0,44,0,0,21,0,0,1,High
Study_1,Site 23,USA,AMERICA,3,0.23604773163108508,0.3813669590643275,0.1694821937357238,11,3.6666666666666665,2,1,3,1,0,0,18,0,0,58,1,3,82,High
Study_1,Site 24,USA,AMERICA,1,0.10916666666666666,0.10916666666666666,0.0,2,2.0,0,1,1,0,0,0,0,0,0,0,0,4,39,Medium
Study_1,Site 25,GBR,EMEA,2,0.05698717948717948,0.06333333333333332,0.008974816838136944,2,1.0,0,2,2,0,0,0,0,0,0,0,0,0,45,Medium
Study_1,Site 26,CHN,ASIA,3,0.044444444444444446,0.13333333333333333,0.0769800358919501,1,0.3333333333333333,0,1,1,0,0,0,10,0,0,0,0,0,0,Low
Study_1,Site 27,CHN,ASIA,3,0.34276160511252257,0.5091341743119266,0.2534814443913265,12,4.0,2,1,3,40,2,0,4,0,0,0,2,2,85,High
Study_1,Site 3,FRA,EMEA,3,0.12345512359011279,0.24369870410367175,0.10413399536674155,6,2.0,0,3,3,0,0,0,2,30,0,0,0,4,117,High
Study_1,Site 4,FRA,EMEA,2,0.34582661150265875,0.4248150332183952,0.11170649726083998,10,5.0,2,0,2,1,0,0,20,10,0,139,0,1,78,High
Study_1,Site 5,AUT,EMEA,1,0.09833333333333333,0.09833333333333333,0.0,1,1.0,0,1,1,0,0,0,3,0,0,0,0,0,0,Medium
Study_1,Site 6,AUT,EMEA,2,0.3013817967163268,0.4289331840759285,0.18038490190345285,8,4.0,1,1,2,0,0,1,56,80,17,88,0,0,4,High
Study_1,Site 7,ISR,EMEA,1,0.25637812516765923,0.25637812516765923,0.0,5,5.0,1,0,1,0,0,0,4,0,0,218,1,1,39,High
Study_1,Site 8,ISR,EMEA,1,0.050256410256410255,0.050256410256410255,0.0,1,1.0,0,1,1,0,0,0,0,0,0,0,0,0,5,Medium
