study,subject_count,site_count,missing_visit_count,lab_issues_count,sae_total_count,sae_pending_count,missing_pages_count,total_uncoded_count,inactivated_forms_count,edrr_open_issues
Study_1,99,28,15,128,700,48,193,26,5607,61
Study_10,82,35,6,70,0,0,42,74,10,3
Study_11,484,149,12,16,14,14,26,4,12,1
Study_13,23,14,0,23,3,0,72,10,374,3
Study_14,4,3,0,0,0,0,18,3,7,0
Study_15,94,3,0,0,0,0,228,1,247,0
Study_16,671,177,327,221,44,25,136,59,10072,1046
Study_17,49,14,8,253,8,0,235,23,907,22
Study_18,214,3,0,0,0,0,15,12,4,0
Study_19,49,15,15,171,0,0,222,25,282,0
Study_2,80,19,2,42,25,1,15,10,4037,1
Study_20,23,13,0,82,0,0,64,18,96,0
Study_21,26443,1070,354,0,5093,5089,291,251,117,93
Study_22,21559,1060,727,0,165,76,2202,442,227,277
Study_23,2930,36,5,1,21,0,18,3,8496,456
Study_24,662,113,78,18103,133,9,1019,435,17,26
Study_25,1375,226,0,5,217,0,0,0,18966,48
Study_4,1555,170,1,3,10633,122,4,6,37,88
Study_5,679,113,21,531,7,0,928,8,5067,5
Study_6,54,15,12,232,1,0,210,16,602,0
Study_7,34,14,0,733,5,5,98,70,3,0
Study_8,653,124,24,24,21,18,39,38,992,16
Study_9,181,10,0,31,2,0,41,0,10650,0
