source,target,edge_type
country:ARE,region:EMEA,IN_REGION
country:ARG,region:AMERICA,IN_REGION
country:AUS,region:ASIA,IN_REGION
country:AUT,region:EMEA,IN_REGION
country:BEL,region:EMEA,IN_REGION
country:BFA,region:EMEA,IN_REGION
country:BGR,region:EMEA,IN_REGION
country:BRA,region:AMERICA,IN_REGION
country:CAN,region:AMERICA,IN_REGION
country:CHE,region:EMEA,IN_REGION
country:CHL,region:AMERICA,IN_REGION
country:CHN,region:ASIA,IN_REGION
country:CIV,region:EMEA,IN_REGION
country:COD,region:EMEA,IN_REGION
country:COL,region:AMERICA,IN_REGION
country:CZE,region:EMEA,IN_REGION
country:DEU,region:EMEA,IN_REGION
country:DNK,region:EMEA,IN_REGION
country:ESP,region:EMEA,IN_REGION
country:EST,region:EMEA,IN_REGION
country:FIN,region:EMEA,IN_REGION
country:FRA,region:EMEA,IN_REGION
country:GAB,region:EMEA,IN_REGION
country:GBR,region:EMEA,IN_REGION
country:GHA,region:EMEA,IN_REGION
country:GRC,region:EMEA,IN_REGION
country:HKG,region:ASIA,IN_REGION
country:HRV,region:EMEA,IN_REGION
country:HUN,region:EMEA,IN_REGION
country:IND,region:ASIA,IN_REGION
country:IRL,region:EMEA,IN_REGION
country:ISL,region:EMEA,IN_REGION
country:ISR,region:EMEA,IN_REGION
country:ITA,region:EMEA,IN_REGION
country:JOR,region:EMEA,IN_REGION
country:JPN,region:ASIA,IN_REGION
country:KEN,region:EMEA,IN_REGION
country:KOR,region:ASIA,IN_REGION
country:LBN,region:EMEA,IN_REGION
country:LTU,region:EMEA,IN_REGION
country:LVA,region:EMEA,IN_REGION
country:MEX,region:AMERICA,IN_REGION
country:MLI,region:EMEA,IN_REGION
country:MUS,region:EMEA,IN_REGION
country:MYS,region:ASIA,IN_REGION
country:NER,region:Unknown,IN_REGION
country:NLD,region:EMEA,IN_REGION
country:NOR,region:EMEA,IN_REGION
country:NZL,region:ASIA,IN_REGION
country:OMN,region:EMEA,IN_REGION
country:PHL,region:ASIA,IN_REGION
country:POL,region:EMEA,IN_REGION
country:PRK,region:Unknown,IN_REGION
country:PRT,region:EMEA,IN_REGION
country:ROU,region:EMEA,IN_REGION
country:RUS,region:EMEA,IN_REGION
country:RWA,region:EMEA,IN_REGION
country:SGP,region:ASIA,IN_REGION
country:SRB,region:EMEA,IN_REGION
country:SVK,region:EMEA,IN_REGION
country:SVN,region:EMEA,IN_REGION
country:SWE,region:EMEA,IN_REGION
country:THA,region:ASIA,IN_REGION
country:TUR,region:EMEA,IN_REGION
country:TWN,region:ASIA,IN_REGION
country:TZA,region:EMEA,IN_REGION
country:UGA,region:EMEA,IN_REGION
country:USA,region:AMERICA,IN_REGION
country:Unknown,region:Unknown,IN_REGION
country:VNM,region:ASIA,IN_REGION
country:ZAF,region:EMEA,IN_REGION
country:ZMB,region:EMEA,IN_REGION
site:Study_1:27,study:Study_1,PARTICIPATES_IN
site:Study_1:27,country:Unknown,LOCATED_IN
site:Study_1:Site 1,study:Study_1,PARTICIPATES_IN
site:Study_1:Site 1,country:FRA,LOCATED_IN
site:Study_1:Site 10,study:Study_1,PARTICIPATES_IN
site:Study_1:Site 10,country:DEU,LOCATED_IN
site:Study_1:Site 11,study:Study_1,PARTICIPATES_IN
site:Study_1:Site 11,country:SGP,LOCATED_IN
site:Study_1:Site 12,study:Study_1,PARTICIPATES_IN
site:Study_1:Site 12,country:KOR,LOCATED_IN
site:Study_1:Site 13,study:Study_1,PARTICIPATES_IN
site:Study_1:Site 13,country:ESP,LOCATED_IN
site:Study_1:Site 14,study:Study_1,PARTICIPATES_IN
site:Study_1:Site 14,country:ESP,LOCATED_IN
site:Study_1:Site 15,study:Study_1,PARTICIPATES_IN
site:Study_1:Site 15,country:ESP,LOCATED_IN
site:Study_1:Site 16,study:Study_1,PARTICIPATES_IN
site:Study_1:Site 16,country:ESP,LOCATED_IN
site:Study_1:Site 17,study:Study_1,PARTICIPATES_IN
site:Study_1:Site 17,country:ESP,LOCATED_IN
site:Study_1:Site 18,study:Study_1,PARTICIPATES_IN
site:Study_1:Site 18,country:USA,LOCATED_IN
site:Study_1:Site 19,study:Study_1,PARTICIPATES_IN
site:Study_1:Site 19,country:USA,LOCATED_IN
site:Study_1:Site 2,study:Study_1,PARTICIPATES_IN
site:Study_1:Site 2,country:FRA,LOCATED_IN
site:Study_1:Site 20,study:Study_1,PARTICIPATES_IN
site:Study_1:Site 20,country:USA,LOCATED_IN
site:Study_1:Site 21,study:Study_1,PARTICIPATES_IN
site:Study_1:Site 21,country:USA,LOCATED_IN
site:Study_1:Site 22,study:Study_1,PARTICIPATES_IN
site:Study_1:Site 22,country:USA,LOCATED_IN
site:Study_1:Site 23,study:Study_1,PARTICIPATES_IN
site:Study_1:Site 23,country:USA,LOCATED_IN
site:Study_1:Site 24,study:Study_1,PARTICIPATES_IN
site:Study_1:Site 24,country:USA,LOCATED_IN
site:Study_1:Site 25,study:Study_1,PARTICIPATES_IN
site:Study_1:Site 25,country:GBR,LOCATED_IN
