anomaly_type,detection_method,level,study,site_id,country,region,metric,value,zscore,mean,std,severity,description,recommendation
STATISTICAL_OUTLIER,Z-Score,site,Study_1,Site 18,USA,AMERICA,sae_pending_count_sum,25.0,4.01,1.9,5.77,HIGH,Sae Pending Count is 4.0σ above average (25 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_1,Site 19,USA,AMERICA,sae_pending_count_sum,21.0,3.31,1.9,5.77,MEDIUM,Sae Pending Count is 3.3σ above average (21 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_1,Site 27,CHN,ASIA,sae_pending_count_sum,40.0,6.61,1.9,5.77,CRITICAL,Sae Pending Count is 6.6σ above average (40 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_11,Site 417,ITA,EMEA,sae_pending_count_sum,32.0,5.22,1.9,5.77,CRITICAL,Sae Pending Count is 5.2σ above average (32 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1003,FIN,EMEA,sae_pending_count_sum,20.0,3.14,1.9,5.77,MEDIUM,Sae Pending Count is 3.1σ above average (20 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1074,USA,AMERICA,sae_pending_count_sum,21.0,3.31,1.9,5.77,MEDIUM,Sae Pending Count is 3.3σ above average (21 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1099,USA,AMERICA,sae_pending_count_sum,48.0,7.99,1.9,5.77,CRITICAL,Sae Pending Count is 8.0σ above average (48 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1110,USA,AMERICA,sae_pending_count_sum,37.0,6.09,1.9,5.77,CRITICAL,Sae Pending Count is 6.1σ above average (37 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1161,USA,AMERICA,sae_pending_count_sum,21.0,3.31,1.9,5.77,MEDIUM,Sae Pending Count is 3.3σ above average (21 vs mean 1.9),Investigate elevated sae pending count at this site
STATISTICAL_OUTLIER,Z-Score,site,Study_21,Site 1180,USA,AMERICA,sae_pending_count_sum,52.0,8.69,1.9,5.77,CRITICAL,Sae Pending Count is 8.7σ above average (52 vs mean 1.9),Investigate elevated sae pending count at this site
