study,site_id,anomaly_count,critical_count,high_count,medium_count,low_count,anomaly_types,type_diversity,anomaly_score,top_anomalies,is_anomaly
Study_22,Site 543,2,2,0,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.2,Subject Count is 5.3σ above average (144 vs mean 16.9); Site has 5 pending SAE reviews but is classified as 'Low' risk (should be High),True
"Study_11, Study_19",Site 493,1,1,0,0,0,CROSS_STUDY_ANOMALY,1,1.1,"Site is high risk in 2/2 studies: Study_11, Study_19",True
Study_22,Site 22,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_22,Site 58,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 9 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 998,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 995,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 3 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 993,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 5 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_22,Site 1704,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 988,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 5 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 982,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Medium' risk (should be High),True
Study_21,Site 975,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Low' risk (should be High),True
Study_21,Site 972,1,1,0,0,0,PATTERN_ANOMALY,1,1.1,Site has 4 pending SAE reviews but is classified as 'Medium' risk (should be High),True
