cluster_id,cluster_name,site_count,pct_of_total,avg_dqi_score,avg_subject_count,avg_high_risk_rate,dominant_issues,risk_level,intervention_priority,recommended_actions,feature_means
1,Safety Concerns,291,8.5,0.0262,53.3,0.0991,"['SAE Pending (65%)', 'Missing Visits (62%)', 'Missing Pages (48%)']",Critical,1,"['Immediate SAE review completion', 'MedDRA coding backlog clearance', 'Safety officer escalation', 'Enhanced monitoring protocol']","{'avg_dqi_score': 0.026167863202019716, 'subject_count': 53.29553264604811, 'high_risk_rate': 0.10312150125787077, 'issue_rate': 0.14236390205470562}"
3,Safety Concerns,21,0.6,0.0314,176.9,0.123,"['SAE Pending (81%)', 'Open EDRR Issues (48%)', 'Missing Visits (43%)']",Critical,1,"['Immediate SAE review completion', 'MedDRA coding backlog clearance', 'Safety officer escalation', 'Enhanced monitoring protocol']","{'avg_dqi_score': 0.03144647937858266, 'subject_count': 176.9047619047619, 'high_risk_rate': 0.13525974030828522, 'issue_rate': 0.20345681637851248}"
7,Safety Concerns,156,4.6,0.0552,18.4,0.1465,"['Missing Visits (71%)', 'Missing Pages (61%)', 'SAE Pending (59%)']",Critical,1,"['Immediate SAE review completion', 'MedDRA coding backlog clearance', 'Safety officer escalation', 'Enhanced monitoring protocol']","{'avg_dqi_score': 0.05522401507843979, 'subject_count': 18.371794871794872, 'high_risk_rate': 0.17152874468427975, 'issue_rate': 0.2889656294157034}"
8,Safety Concerns,87,2.5,0.143,10.1,0.2164,"['Missing Pages (85%)', 'Missing Visits (62%)', 'Lab Issues (60%)']",Critical,1,"['Immediate SAE review completion', 'MedDRA coding backlog clearance', 'Safety officer escalation', 'Enhanced monitoring protocol']","{'avg_dqi_score': 0.1430187932139009, 'subject_count': 10.091954022988507, 'high_risk_rate': 0.23404787736872854, 'issue_rate': 0.7224078278734193}"
9,Safety Concerns,670,19.6,0.042,19.0,0.1878,"['SAE Pending (92%)', 'Missing Pages (12%)', 'Missing Visits (11%)']",Critical,1,"['Immediate SAE review completion', 'MedDRA coding backlog clearance', 'Safety officer escalation', 'Enhanced monitoring protocol']","{'avg_dqi_score': 0.042021408531814915, 'subject_count': 18.992537313432837, 'high_risk_rate': 0.21480219095545208, 'issue_rate': 0.21480219095545208}"
0,Data Laggards,568,16.6,0.0858,4.3,0.0,"['Missing Pages (43%)', 'Open EDRR Issues (15%)', 'Lab Issues (11%)']",High,2,"['Data entry training program', 'Weekly compliance check-ins', 'CRA monitoring frequency increase', 'SDV prioritization']","{'avg_dqi_score': 0.08583334869417525, 'subject_count': 4.26056338028169, 'high_risk_rate': 0.0, 'issue_rate': 1.0}"
2,Data Laggards,225,6.6,0.2203,4.5,0.3611,"['Missing Pages (97%)', 'Missing Visits (62%)', 'Lab Issues (45%)']",High,2,"['Data entry training program', 'Weekly compliance check-ins', 'CRA monitoring frequency increase', 'SDV prioritization']","{'avg_dqi_score': 0.22028330218296416, 'subject_count': 4.528888888888889, 'high_risk_rate': 0.5193372139842728, 'issue_rate': 1.0}"
5,Data Laggards,630,18.4,0.0245,15.4,0.0,"['Missing Pages (67%)', 'Missing Visits (23%)', 'Open EDRR Issues (23%)']",High,2,"['Data entry training program', 'Weekly compliance check-ins', 'CRA monitoring frequency increase', 'SDV prioritization']","{'avg_dqi_score': 0.024545107776962664, 'subject_count': 15.396825396825397, 'high_risk_rate': 0.0, 'issue_rate': 0.21992007810342684}"
6,Moderate Performers,40,1.2,0.0347,80.6,0.0025,"['Open EDRR Issues (42%)', 'Missing Pages (35%)', 'Uncoded MedDRA (15%)']",Low,4,"['Standard monitoring protocol', 'Periodic quality reviews']","{'avg_dqi_score': 0.03473574554083885, 'subject_count': 80.625, 'high_risk_rate': 0.0021646134408920127, 'issue_rate': 0.5735074459033018}"
4,High Performers,736,21.5,0.0,8.1,0.0,[],Low,5,"['Maintain current practices', 'Share best practices with portfolio', 'Reduced monitoring frequency eligible']","{'avg_dqi_score': 0.0, 'subject_count': 8.070652173913043, 'high_risk_rate': 0.0, 'issue_rate': 0.0}"
