study,site_id,country,region,subject_count,avg_dqi_score,max_dqi_score,std_dqi_score,total_issue_types,avg_issue_types,high_risk_count,medium_risk_count,subjects_with_issues,sae_pending_count_sum,uncoded_meddra_count_sum,missing_visit_count_sum,missing_pages_count_sum,lab_issues_count_sum,max_days_outstanding_sum,max_days_page_missing_sum,uncoded_whodd_count_sum,edrr_open_issues_sum,inactivated_forms_count_sum,site_risk_category,anomaly_score,is_anomaly,high_risk_rate,issue_rate,cluster_id,cluster_probability,cluster_name
Study_1,27,Unknown,Unknown,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.999998750667063,High Performers
Study_1,Site 1,FRA,EMEA,1,0.0502564102564102,0.0502564102564102,0.0,1,1.0,0,1,1,0,0,0,0,0,0,0,0,0,5,Medium,0.0,False,0.0,1.0,0,0.9999984120495102,Data Laggards
Study_1,Site 10,DEU,EMEA,3,0.0864049145299145,0.1060416666666666,0.0313444919748058,5,1.6666666666666667,0,3,3,0,0,0,0,0,0,0,0,5,83,Medium,0.55,True,0.0,1.0,0,0.9999946937000982,Data Laggards
Study_1,Site 11,SGP,ASIA,2,0.0944759334233018,0.1402339181286549,0.064711562557171,3,1.5,0,2,2,0,0,0,3,0,0,61,0,0,1,Medium,0.0,False,0.0,1.0,0,0.9999961116778409,Data Laggards
Study_1,Site 12,KOR,ASIA,1,0.4502552518935482,0.4502552518935482,0.0,8,8.0,1,0,1,0,0,1,4,4,11,52,5,1,27,High,0.688,True,1.0,1.0,2,0.9999999999870886,Data Laggards
Study_1,Site 13,ESP,EMEA,2,0.0243589743589743,0.0487179487179487,0.03444879190396,1,0.5,0,1,1,0,0,0,0,0,0,0,0,0,1,Low,0.0,False,0.0,0.5,5,0.9989528790925022,Data Laggards
Study_1,Site 14,ESP,EMEA,14,0.1121725258143801,0.5350550050145898,0.1577918281052096,24,1.7142857142857142,2,10,12,6,0,4,8,2,16,0,1,6,141,Medium,0.733,True,0.14285714285714285,0.8571428571428571,8,1.0,Safety Concerns
Study_1,Site 15,ESP,EMEA,16,0.1542502697860308,0.4479751461988304,0.1685886974481742,34,2.125,5,7,12,13,0,1,50,0,10,324,0,19,267,High,0.675,True,0.3125,0.75,8,0.9999999884081454,Safety Concerns
Study_1,Site 16,ESP,EMEA,5,0.062625,0.0997916666666666,0.0215646315847941,6,1.2,0,5,5,0,0,0,0,0,0,0,0,1,91,Medium,0.55,True,0.0,1.0,0,0.9999834676219493,Data Laggards
Study_1,Site 17,ESP,EMEA,3,0.5163811080556421,0.7203769531257667,0.3136867620252216,19,6.333333333333333,2,1,3,8,4,2,16,1,22,157,0,2,61,High,0.825,True,0.6666666666666666,1.0,2,1.0,Data Laggards
Study_1,Site 18,USA,AMERICA,14,0.1054564063483073,0.2927921530023906,0.0831523753423416,23,1.6428571428571428,2,12,14,25,0,4,6,0,15,0,1,3,241,Medium,0.825,True,0.14285714285714285,1.0,2,0.9961061843124531,Data Laggards
Study_1,Site 19,USA,AMERICA,5,0.2113558935131387,0.4600073099415205,0.2149057362228694,14,2.8,2,3,5,21,0,2,66,0,32,174,9,6,94,High,0.7,True,0.4,1.0,2,0.9999720955611568,Data Laggards
Study_1,Site 2,FRA,EMEA,4,0.1068443909102656,0.2496852559487548,0.0954038256160838,7,1.75,1,3,4,0,0,0,32,1,0,38,0,0,90,Medium,0.0,False,0.25,1.0,2,0.9999977086368796,Data Laggards
Study_1,Site 20,USA,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.0,False,0.0,0.0,4,0.999998750667063,High Performers
