study,site_id,country,region,priority,subject_count,high_risk_count,avg_dqi_score,top_issue,top_recommendation,ai_insight
Study_1,Site 17,ESP,EMEA,CRITICAL,3,2,0.516,sae_pending_count,Schedule urgent site quality call within 48 hours,"Given the critical data quality issue (DQI Score: 0.516) at Site 17 in ESP for Study_1, immediate attention is required to address the identified risks. The top issues include a high number of SAEs pending (8 instances), uncoded MEDDRA counts (4 instances), missing visits (2 instances), and numerous missing pages (16 instances).

To effectively mitigate these problems, it is recommended to:
1. Prioritize the review and resolution of all outstanding SAEs.
2. Ensure proper coding of MEDDRA terms b"
Study_16,Site 674,DEU,EMEA,CRITICAL,2,2,0.497,sae_pending_count,Schedule urgent site quality call within 48 hours,"Given the CRITICAL risk level and DQI score of 0.497 for Site 674 in DEU during Study_16, it is imperative to address the identified issues promptly to maintain data quality. The top issues include pending SAEs, missing visits, missing pages, open EDRR issues, and numerous inactivated forms.

To immediately improve the situation, prioritize resolving pending SAEs by ensuring their timely reporting and closure. Address missing visit and page issues by contacting study staff to collect outstanding"
Study_16,Site 759,TUR,EMEA,CRITICAL,1,1,0.444,sae_pending_count,Schedule urgent site quality call within 48 hours,"Given the CRITICAL risk level and DQI score of 0.444 for Site 759 in TUR for Study_16, immediate attention is required. The top issues include a high number of lab issues (41 instances), SAEs pending (2 instances), missing pages (1 instance), EDCC open issues (8 instances), and inactivated forms (4 instances).

To mitigate these critical issues, prioritize resolving lab inconsistencies by verifying data entry procedures, ensuring proper sample handling, and seeking feedback from the local lab pe"
Study_1,Site 4,FRA,EMEA,CRITICAL,2,2,0.346,sae_pending_count,Schedule urgent site quality call within 48 hours,"Given the CRITICAL DQI score for Site 4 in FRA for Study_1, it is imperative to address the identified issues promptly to ensure data quality. The top priority should be resolving the outstanding SAEs (1 instance), ensuring all missing pages (20 instances) are located and provided, addressing lab issues (10 instances), and closing open EDCRR issues (1 instance). Additionally, it is crucial to reactivate 78 inactivated forms for complete data collection. Immediate action from the site team, inclu"
Study_1,Site 27,CHN,ASIA,CRITICAL,3,2,0.343,sae_pending_count,Schedule urgent site quality call within 48 hours,"Given the critical data quality issue (DQI Score: 0.343) at Site 27 in CHN for Study_1, it is recommended to prioritize addressing outstanding safety issues (SAE pending count: 40 instances) and missing or uncoded adverse events (uncoded MedDRA count: 2 instances, uncoded WHODD count: 2 instances). The immediate next steps should include a site-level review of the SAE documentation and adherence to the study's standard operating procedures for coding and reporting adverse events. Additionally, e"
Study_24,Site 888,DEU,EMEA,CRITICAL,23,15,0.319,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_11,Site 417,ITA,EMEA,CRITICAL,1,1,0.297,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 693,MYS,ASIA,CRITICAL,2,1,0.275,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 637,BEL,EMEA,CRITICAL,8,4,0.248,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 2183,CHN,ASIA,CRITICAL,6,3,0.243,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 720,KOR,ASIA,CRITICAL,3,2,0.243,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_1,Site 23,USA,AMERICA,CRITICAL,3,2,0.236,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_11,Site 157,GBR,EMEA,CRITICAL,1,1,0.233,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 742,CHN,ASIA,CRITICAL,8,6,0.229,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_1,Site 19,USA,AMERICA,CRITICAL,5,2,0.211,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_24,Site 10,HKG,ASIA,CRITICAL,7,2,0.211,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_7,Site 14,CHN,ASIA,CRITICAL,11,4,0.204,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_16,Site 701,AUS,ASIA,CRITICAL,7,3,0.196,sae_pending_count,Schedule urgent site quality call within 48 hours,
Study_21,Site 1314,CHN,ASIA,CRITICAL,2,2,0.183,sae_pending_count,Schedule urgent site quality call within 48 hours,
