study,site_id,country,region,subject_count,site_risk_category,cluster_id,cluster_name,prob_cluster_0,prob_cluster_1,prob_cluster_2
Study_1,27,Unknown,Unknown,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_1,Site 1,FRA,EMEA,1,Medium,0,Cluster_0_Low_Risk,0.9999999999999645,3.654264064152732e-14,1.231667020279609e-26
Study_1,Site 10,DEU,EMEA,3,Medium,1,Cluster_1_Completeness_Issues,3.9366344461438506e-60,0.9999999999998325,1.675083784243986e-13
Study_1,Site 11,SGP,ASIA,2,Medium,1,Cluster_1_Completeness_Issues,0.0,0.9999999999999316,6.836852387895206e-14
Study_1,Site 12,KOR,ASIA,1,High,2,Cluster_2_High_Risk_Elevated_DQI,0.0,1.2847643152904759e-115,1.0
Study_1,Site 13,ESP,EMEA,2,Low,0,Cluster_0_Low_Risk,0.9999999999999538,4.763805780825574e-14,6.870312393739042e-26
Study_1,Site 14,ESP,EMEA,14,Medium,2,Cluster_2_High_Risk_Elevated_DQI,0.0,0.0,1.0
Study_1,Site 15,ESP,EMEA,16,High,2,Cluster_2_High_Risk_Elevated_DQI,0.0,0.0,1.0
Study_1,Site 16,ESP,EMEA,5,Medium,0,Cluster_0_Low_Risk,0.9999999870588283,1.2941171275420383e-08,2.8071869354898844e-21
Study_1,Site 17,ESP,EMEA,3,High,2,Cluster_2_High_Risk_Elevated_DQI,0.0,0.0,1.0
Study_1,Site 18,USA,AMERICA,14,Medium,2,Cluster_2_High_Risk_Elevated_DQI,0.0,0.0,1.0
Study_1,Site 19,USA,AMERICA,5,High,2,Cluster_2_High_Risk_Elevated_DQI,0.0,0.0,1.0
Study_1,Site 2,FRA,EMEA,4,Medium,1,Cluster_1_Completeness_Issues,0.0,0.9315256528454401,0.06847434715456023
Study_1,Site 20,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_1,Site 21,USA,AMERICA,3,High,2,Cluster_2_High_Risk_Elevated_DQI,0.0,0.0,1.0
Study_1,Site 22,USA,AMERICA,1,High,2,Cluster_2_High_Risk_Elevated_DQI,0.0,1.0935607877098366e-275,1.0
Study_1,Site 23,USA,AMERICA,3,High,2,Cluster_2_High_Risk_Elevated_DQI,0.0,0.0,1.0
Study_1,Site 24,USA,AMERICA,1,Medium,1,Cluster_1_Completeness_Issues,1.3518217937326884e-197,0.9999999999994509,5.491605090080358e-13
Study_1,Site 25,GBR,EMEA,2,Medium,0,Cluster_0_Low_Risk,0.9999999999998828,1.1594406078743544e-13,2.4607664965594798e-26
Study_1,Site 26,CHN,ASIA,3,Low,1,Cluster_1_Completeness_Issues,0.0,0.9999999999927932,7.2068089332794485e-12
Study_1,Site 27,CHN,ASIA,3,High,2,Cluster_2_High_Risk_Elevated_DQI,0.0,0.0,1.0
Study_1,Site 3,FRA,EMEA,3,High,2,Cluster_2_High_Risk_Elevated_DQI,0.0,2.3357025728266924e-220,1.0
Study_1,Site 4,FRA,EMEA,2,High,2,Cluster_2_High_Risk_Elevated_DQI,0.0,0.0,1.0
Study_1,Site 5,AUT,EMEA,1,Medium,1,Cluster_1_Completeness_Issues,0.0,0.9999999999997542,2.458088626454036e-13
Study_1,Site 6,AUT,EMEA,2,High,2,Cluster_2_High_Risk_Elevated_DQI,0.0,0.0,1.0
Study_1,Site 7,ISR,EMEA,1,High,2,Cluster_2_High_Risk_Elevated_DQI,0.0,3.5697625356367897e-103,1.0
Study_1,Site 8,ISR,EMEA,1,Medium,0,Cluster_0_Low_Risk,0.9999999999999645,3.654264064152732e-14,1.231667020279609e-26
Study_1,Site 9,CZE,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_10,34,Unknown,Unknown,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_10,Site 11,HUN,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_10,Site 149,POL,EMEA,2,Low,0,Cluster_0_Low_Risk,0.9999999999999964,2.2670635656672173e-15,1.9414551030072474e-27
Study_10,Site 153,ITA,EMEA,1,High,2,Cluster_2_High_Risk_Elevated_DQI,0.0,0.0,1.0
Study_10,Site 154,ITA,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
Study_10,Site 28,USA,AMERICA,4,Medium,1,Cluster_1_Completeness_Issues,0.0,0.999999999936144,6.385603494330541e-11
Study_10,Site 29,USA,AMERICA,1,High,2,Cluster_2_High_Risk_Elevated_DQI,0.0,1.5929078366707553e-196,1.0
Study_10,Site 32,USA,AMERICA,1,Medium,1,Cluster_1_Completeness_Issues,0.023366037604175532,0.9766339623955976,2.2672782020242895e-13
Study_10,Site 33,USA,AMERICA,2,Low,0,Cluster_0_Low_Risk,0.9999999999999964,2.2670635656672173e-15,1.9414551030072474e-27
Study_10,Site 357,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,1.0509911671384543e-15,4.642458521703675e-28
